anio,id_ent,id_act,unidades_eco,produccion,personal,activos
2003,8,334210,3,190.99,544,96.347
2003,8,334220,4,829.676,4767,193.289
2003,8,334290,3,356.176,2179,27.326
2003,8,334310,9,6875.736,6103,594.413
2003,8,334410,48,10040.096,23065,1438.821
2003,8,334519,10,1607.073,4065,250.019
2003,8,335311,16,2748.86,7868,322.183
2003,8,335312,4,137.155,249,21.792
2003,8,335910,2,,,
2003,8,335920,5,800.37,4806,310.436
2003,8,335999,3,,,
2003,8,336210,11,198.36,495,61.54
2003,8,336310,1,,,
2003,8,336320,89,35793.118,120372,5054.843
2003,8,336330,1,,,
2003,8,336340,1,,,
2003,8,336350,1,,,
2003,8,336360,16,3176.685,25720,863.553
2003,8,336370,6,1156.931,1136,1185.172
2003,8,336390,10,2342.555,10682,1110.79
2003,8,336410,2,,,
2003,8,336610,1,,,
2003,8,434221,115,369.861,1223,159.402
2003,8,434222,53,339.859,434,74.126
2003,8,434229,42,133.078,607,47.69
2003,8,434311,114,121.94,713,45.622
2003,8,435220,46,282.77,534,66.393
2003,8,435419,58,195.153,561,52.652
2003,8,468211,955,667.942,4341,358.961
2003,8,468212,536,115.053,1642,119.603
2003,8,468213,157,202.751,1109,92.87
2003,8,811122,79,8.859,109,3.582
2003,8,811129,44,26.957,157,11.927
2003,8,811312,174,132.295,904,72.741
2003,9,314110,9,8.68,73,0.914
2003,9,321920,30,125.107,455,13.357
2003,9,322210,127,3154.556,6184,1465.015
2003,9,323119,3056,8040.947,25359,4118.414
2003,9,324191,29,2076.732,1337,331.282
2003,9,325120,2,,,
2003,9,325130,17,204.766,526,39.332
2003,9,325211,13,343.639,513,66.318
2003,9,325212,4,23.748,54,11.267
2003,9,325510,49,1576.259,2980,264.02
2003,9,325993,9,6.043,34,3.239
2003,9,326110,145,4320.669,6211,1892.526
2003,9,326120,24,614.266,1070,464.015
2003,9,326140,31,299.626,1366,80.584
2003,9,326150,6,20.814,310,5.305
2003,9,326160,78,1172.032,3201,674.639
2003,9,326192,25,116.885,377,81.048
2003,9,326193,100,1386.144,3466,436.466
2003,9,326194,68,1052.787,2789,715.697
2003,9,326198,44,592.716,1044,146.836
2003,9,326199,184,712.503,2910,324.144
2003,9,326211,10,1270.942,2229,302.559
2003,9,326220,25,88.686,344,23.178
2003,9,326290,90,443.796,1916,139.998
2003,9,327111,37,31.693,272,10.56
2003,9,327112,10,20.077,102,3.87
2003,9,327121,48,58.212,298,9.75
2003,9,327122,7,34.655,376,18.358
2003,9,327910,9,216.725,391,103.988
2003,9,327991,76,69.761,438,26.978
2003,9,327999,23,9.855,225,19.533
2003,9,331111,1,,,
2003,9,331210,18,319.166,671,107.673
2003,9,331220,12,225.042,396,56.401
2003,9,331310,14,521.675,1732,224.62
2003,9,331411,2,,,
2003,9,331420,4,,,
2003,9,331490,4,45.711,31,0.909
2003,9,331510,41,49.211,359,40.811
2003,9,331520,55,152.642,675,48.825
2003,9,332110,97,1370.599,2332,347.927
2003,9,332211,26,127.617,514,34.938
2003,9,332410,6,133.552,276,96.393
2003,9,332420,20,266.051,1075,137.495
2003,9,332430,20,1037.826,1683,617.061
2003,9,332510,37,525.598,1812,234.218
2003,9,332610,107,1109.413,2025,298.437
2003,9,332710,336,365.288,1932,223.137
2003,9,332720,153,644.566,2178,233.435
2003,9,332810,108,266.359,1548,119.01
2003,9,332910,32,779.674,1788,233.608
2003,9,332991,6,2.345,34,2.476
2003,9,332999,257,1116.726,4166,393.289
2003,9,333111,5,,,
2003,9,333112,2,,,
2003,9,333120,7,88.794,124,9.008
2003,9,333130,2,,,
2003,9,333241,10,20.344,109,6.185
2003,9,333242,18,83.46,387,46.756
2003,9,333243,54,231.383,816,59.811
2003,9,333244,8,25.46,112,4.321
2003,9,333245,20,29.514,176,10.486
2003,9,333249,12,73.502,251,24.837
2003,9,333319,11,,,
2003,9,333411,33,356.073,737,61.937
2003,9,333412,23,560.675,1329,60.292
2003,9,333510,77,138.015,749,69.662
2003,9,333610,12,273.868,796,268.65
2003,9,333910,33,229.388,690,59.282
2003,9,333920,20,634.69,1128,102.525
2003,9,333991,8,362.1,572,37.898
2003,9,333992,13,68.975,313,20.659
2003,9,333993,5,30.859,105,1.914
2003,9,333999,43,220.576,740,46.491
2003,9,334110,8,127.116,485,12.485
2003,9,334210,4,63.853,704,43.344
2003,9,334220,10,15.002,106,10.026
2003,9,334290,12,44.497,236,20.323
2003,9,334310,6,15.607,111,8.601
2003,9,334410,37,456.936,1425,117.637
2003,9,334511,2,,,
2003,9,334519,25,,,
2003,9,334610,17,1657.434,2268,584.301
2003,9,335311,11,1847.064,1606,269.683
2003,9,335312,38,805.305,1308,110.876
2003,9,335910,5,18.773,64,3.253
2003,9,335920,11,1276.209,1179,627.318
2003,9,335999,15,,,
2003,9,336110,1,,,
2003,9,336120,1,,,
2003,9,336210,32,236.241,614,38.658
2003,9,336310,7,1773.666,1248,420.424
2003,9,336320,12,772.348,1440,187.439
2003,9,336330,14,209.007,663,61.333
2003,9,336340,20,681.905,2047,196.339
2003,9,336350,20,247.04,347,93.433
2003,9,336360,11,12.629,60,3.921
2003,9,336370,43,159.385,613,62.962
2003,9,336390,68,1071.316,2385,355.786
2003,9,336510,2,,,
2003,9,336610,2,,,
2003,9,336991,1,,,
2003,9,336999,4,,,
2003,9,434221,343,2276.196,5326,437.824
2003,9,434222,363,5135.608,5588,1109.639
2003,9,434229,170,730.453,2468,224.798
2003,9,434311,277,144.27,1026,97.07
2003,9,435220,358,1614.311,4396,380.095
2003,9,435419,324,1706.162,5037,419.715
2003,9,468211,3989,3194.225,17599,1049.37
2003,9,468212,1093,209.865,2700,160.825
2003,9,468213,383,1925.993,3095,428.834
2003,9,811122,375,42.005,690,12.198
2003,9,811129,187,63.913,510,18.101
2003,9,811312,956,1257.244,5615,337.977
2003,10,321920,109,160.433,1138,52.739
2003,10,322210,3,,,
2003,10,323119,172,,,
2003,10,325211,1,,,
2003,10,326110,4,34.058,103,10.264
2003,10,326120,3,,,
2003,10,326140,3,83.681,155,40.491
2003,10,326192,1,,,
2003,10,326194,2,,,
2003,10,326198,2,,,
2003,10,326199,3,55.231,299,38.924
2003,10,326220,1,,,
2003,10,326290,1,,,
2003,10,327111,11,,,
2003,10,327112,1,,,
2003,10,327121,392,46.211,1023,14.692
2003,10,327122,1,,,
2003,10,327123,1,,,
2003,10,327991,73,472.715,2481,186.87
2003,10,327999,10,2.507,33,1.634
2003,10,331112,1,,,
2003,10,331210,3,,,
2003,10,331220,1,,,
2003,10,331510,15,78.775,409,44.966
2003,10,331520,3,2.084,17,0.831
2003,10,332110,4,0.314,6,0.953
2003,10,332211,3,,,
2003,10,332410,2,,,
2003,10,332420,11,34.202,266,15.677
2003,10,332430,1,,,
2003,10,332510,2,,,
2003,10,332610,1,,,
2003,10,332710,54,41.841,312,45.034
2003,10,332720,16,11.414,102,5.354
2003,10,332910,3,30.799,139,78.914
2003,10,332991,1,,,
2003,10,332999,24,,,
2003,10,333111,6,,,
2003,10,333112,1,,,
2003,10,333120,3,,,
2003,10,333130,1,,,
2003,10,333241,3,,,
2003,10,333243,2,,,
2003,10,333319,1,,,
2003,10,333411,12,,,
2003,10,333412,2,,,
2003,10,333610,1,,,
2003,10,333910,8,,,
2003,10,333920,1,,,
2003,10,334310,1,,,
2003,10,334519,2,,,
2003,10,335311,1,,,
2003,10,335312,1,,,
2003,10,335920,1,,,
2003,10,335999,1,,,
2003,10,336210,5,184.853,728,17.006
2003,10,336310,1,,,
2003,10,336320,2,,,
2003,10,336350,1,,,
2003,10,336370,1,,,
2003,10,336390,2,,,
2003,10,336610,1,,,
2003,10,434221,41,131.582,548,35.418
2003,10,434222,19,47.063,118,20.4
2003,10,434229,13,87.164,159,22.165
2003,10,434311,38,31.023,197,17.182
2003,10,435220,16,74.248,184,19.396
2003,10,435419,13,32.175,65,7.125
2003,10,468211,426,206.502,1558,119.107
2003,10,468212,86,15.244,209,15.552
2003,10,468213,64,91.649,518,42.467
